Unnamed: 0,As of Date: 1/20/2024Current,9/30/2023,6/30/2023,3/31/2023,12/31/2022,Ticker,10/31/2023,7/31/2023,4/30/2023,1/31/2023,10/31/2022,As of Date: 1/19/2024Current,11/30/2023,8/31/2023,5/31/2023,2/28/2023,11/30/2022,0,1
Trailing P/E,28.03,18.87,17.89,14.25,12.05,LRCX,,,,,,,,,,,,,
Forward P/E,28.17,23.09,23.09,18.45,12.09,LRCX,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.84,2.30,2.25,1.88,1.36,LRCX,,,,,,,,,,,,,
Price/Sales (ttm),7.03,4.88,4.66,3.84,3.25,LRCX,,,,,,,,,,,,,
Price/Book (mrq),13.53,10.08,10.19,8.60,7.68,LRCX,,,,,,,,,,,,,
Enterprise Value/Revenue,6.87,23.67,26.60,18.56,10.90,LRCX,,,,,,,,,,,,,
Enterprise Value/EBITDA,21.65,70.96,85.35,66.63,32.25,LRCX,,,,,,,,,,,,,
Market Cap (intraday),108.78B,93.38B,96.11B,103.55B,107.68B,GILD,,,,,,,,,,,,,
Enterprise Value,126.90B,111.96B,115.47B,122.39B,127.24B,GILD,,,,,,,,,,,,,
Trailing P/E,18.69,17.23,17.44,22.79,32.52,GILD,,,,,,,,,,,,,
Forward P/E,12.05,10.24,11.32,12.14,12.66,GILD,,,,,,,,,,,,,
PEG Ratio (5 yr expected),0.61,0.50,0.56,0.60,0.69,GILD,,,,,,,,,,,,,
Price/Sales (ttm),4.02,3.45,3.60,3.84,3.99,GILD,,,,,,,,,,,,,
Price/Book (mrq),4.88,4.42,4.58,4.88,5.08,GILD,,,,,,,,,,,,,
Enterprise Value/Revenue,4.63,15.88,17.50,19.27,17.22,GILD,,,,,,,,,,,,,
Enterprise Value/EBITDA,11.87,34.62,46.21,56.40,45.69,GILD,,,,,,,,,,,,,
Market Cap (intraday),95.04B,76.66B,90.40B,95.23B,98.64B,AMT,,,,,,,,,,,,,
Enterprise Value,139.73B,121.82B,135.51B,140.25B,143.18B,AMT,,,,,,,,,,,,,
Trailing P/E,135.91,80.22,65.08,53.49,33.68,AMT,,,,,,,,,,,,,
Forward P/E,44.25,32.68,43.10,46.51,47.17,AMT,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.81,1.93,1.76,1.83,3.44,AMT,,,,,,,,,,,,,
Price/Sales (ttm),8.61,7.03,8.34,8.83,9.33,AMT,,,,,,,,,,,,,
Price/Book (mrq),20.96,14.84,16.72,17.09,15.70,AMT,,,,,,,,,,,,,
Enterprise Value/Revenue,12.63,43.22,48.89,50.68,52.93,AMT,,,,,,,,,,,,,
Enterprise Value/EBITDA,26.80,69.02,85.36,93.33,398.17,AMT,,,,,,,,,,,,,
Market Cap (intraday),96.60B,,,,,ADI,78.08B,99.43B,90.99B,86.74B,72.64B,,,,,,,,
Enterprise Value,102.65B,,,,,ADI,83.91B,104.98B,95.87B,91.87B,77.36B,,,,,,,,
Trailing P/E,29.74,,,,,ADI,21.41,28.34,27.25,32.66,42.20,,,,,,,,
Forward P/E,27.10,,,,,ADI,18.73,19.76,17.01,17.04,14.68,,,,,,,,
PEG Ratio (5 yr expected),2.93,,,,,ADI,2.12,2.04,1.83,1.70,1.31,,,,,,,,
Price/Sales (ttm),8.01,,,,,ADI,6.25,7.97,7.41,7.47,6.63,,,,,,,,
Price/Book (mrq),2.72,,,,,ADI,2.17,2.76,2.47,2.38,1.98,,,,,,,,
Enterprise Value/Revenue,8.34,,,,,ADI,30.89,34.12,29.38,28.27,23.82,,,,,,,,
Enterprise Value/EBITDA,16.65,,,,,ADI,71.14,68.53,55.32,53.37,46.37,,,,,,,,
Market Cap (intraday),106.49B,,,,,PANW,76.24B,77.06B,55.21B,47.97B,51.87B,,,,,,,,
Enterprise Value,104.82B,,,,,PANW,76.12B,77.05B,55.82B,48.13B,52.19B,,,,,,,,
Trailing P/E,189.74,,,,,PANW,189.86,386.54,2.38k,,,,,,,,,,
Forward P/E,63.69,,,,,PANW,45.66,51.28,39.84,48.31,54.35,,,,,,,,
PEG Ratio (5 yr expected),2.28,,,,,PANW,1.62,1.58,1.28,1.55,1.75,,,,,,,,
Price/Sales (ttm),16.17,,,,,PANW,12.07,12.63,9.37,8.37,9.22,,,,,,,,
Price/Book (mrq),49.06,,,,,PANW,43.60,62.53,76.49,94.43,247.01,,,,,,,,
Enterprise Value/Revenue,14.54,,,,,PANW,40.53,39.45,32.44,29.08,33.38,,,,,,,,
Enterprise Value/EBITDA,94.63,,,,,PANW,218.22,200.24,264.43,301.76,474.02,,,,,,,,
Market Cap (intraday),99.13B,94.41B,99.27B,94.98B,91.02B,MDLZ,,,,,,,,,,,,,
Enterprise Value,117.97B,114.65B,120.06B,116.50B,111.03B,MDLZ,,,,,,,,,,,,,
Trailing P/E,21.81,23.06,25.41,35.57,29.62,MDLZ,,,,,,,,,,,,,
Forward P/E,20.16,19.65,22.78,22.12,21.74,MDLZ,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.89,2.04,2.30,2.42,3.13,MDLZ,,,,,,,,,,,,,
Price/Sales (ttm),2.82,2.79,3.06,3.07,3.05,MDLZ,,,,,,,,,,,,,
Price/Book (mrq),3.47,3.31,3.52,3.53,3.42,MDLZ,,,,,,,,,,,,,
Enterprise Value/Revenue,3.33,12.70,14.11,12.71,12.77,MDLZ,,,,,,,,,,,,,
Enterprise Value/EBITDA,16.28,64.63,75.23,43.45,92.99,MDLZ,,,,,,,,,,,,,
Market Cap (intraday),97.99B,99.11B,90.58B,92.06B,99.09B,ADP,,,,,,,,,,,,,
Enterprise Value,99.87B,100.37B,92.07B,94.03B,101.21B,ADP,,,,,,,,,,,,,
Trailing P/E,28.29,29.30,28.11,29.61,33.08,ADP,,,,,,,,,,,,,
Forward P/E,26.04,26.32,24.94,24.94,29.33,ADP,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.89,2.73,2.33,2.34,2.71,ADP,,,,,,,,,,,,,
Price/Sales (ttm),5.67,5.81,5.40,5.58,6.11,ADP,,,,,,,,,,,,,
Price/Book (mrq),28.22,28.23,24.52,30.82,38.42,ADP,,,,,,,,,,,,,
Enterprise Value/Revenue,5.73,23.28,21.70,20.10,24.08,ADP,,,,,,,,,,,,,
Enterprise Value/EBITDA,18.60,75.70,73.48,61.09,80.85,ADP,,,,,,,,,,,,,
Market Cap (intraday),94.23B,89.68B,88.62B,95.04B,122.45B,CVS,,,,,,,,,,,,,
Enterprise Value,158.13B,154.93B,143.63B,150.05B,173.53B,CVS,,,,,,,,,,,,,
Trailing P/E,11.21,31.88,22.97,23.67,39.32,CVS,,,,,,,,,,,,,
Forward P/E,8.61,8.12,8.04,8.43,10.54,CVS,,,,,,,,,,,,,
PEG Ratio (5 yr expected),0.33,0.31,1.36,1.26,1.26,CVS,,,,,,,,,,,,,
Price/Sales (ttm),0.27,0.27,0.27,0.30,0.39,CVS,,,,,,,,,,,,,
Price/Book (mrq),1.27,1.24,1.24,1.34,1.71,CVS,,,,,,,,,,,,,
Enterprise Value/Revenue,0.45,1.73,1.62,1.76,2.07,CVS,,,,,,,,,,,,,
Enterprise Value/EBITDA,8.68,32.02,32.94,33.58,38.06,CVS,,,,,,,,,,,,,
Market Cap (intraday),89.70B,87.55B,81.25B,78.37B,54.14B,ABNB,,,,,,,,,,,,,
Enterprise Value,81.04B,79.54B,73.00B,71.09B,46.87B,ABNB,,,,,,,,,,,,,
Trailing P/E,17.03,40.24,42.72,44.59,35.48,ABNB,,,,,,,,,,,,,
Forward P/E,30.67,32.15,35.59,34.60,27.93,ABNB,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.46,1.55,1.76,1.73,,ABNB,,,,,,,,,,,,,
Price/Sales (ttm),9.72,10.14,10.14,10.07,7.13,ABNB,,,,,,,,,,,,,
Price/Book (mrq),9.83,17.33,15.36,14.10,9.74,ABNB,,,,,,,,,,,,,
Enterprise Value/Revenue,8.44,23.41,29.39,39.10,24.64,ABNB,,,,,,,,,,,,,
Enterprise Value/EBITDA,28.07,46.98,106.25,490.28,129.48,ABNB,,,,,,,,,,,,,
Market Cap (intraday),,79.20B,88.66B,91.28B,87.60B,C,,,,,,98.05B,,,,,,,
Enterprise Value,,,,,,C,,,,,,,,,,,,,
Trailing P/E,,6.52,6.32,6.59,6.07,C,,,,,,12.75,,,,,,,
Forward P/E,,6.49,7.45,7.51,6.56,C,,,,,,8.64,,,,,,,
PEG Ratio (5 yr expected),,,,18.79,,C,,,,,,,,,,,,,
Price/Sales (ttm),,1.04,1.16,1.22,1.20,C,,,,,,1.28,,,,,,,
Price/Book (mrq),,0.42,0.47,0.50,0.49,C,,,,,,0.52,,,,,,,
Enterprise Value/Revenue,,,,,,C,,,,,,,,,,,,,
Enterprise Value/EBITDA,,,,,,C,,,,,,,,,,,,,
Market Cap (intraday),97.67B,85.10B,80.24B,68.30B,62.42B,ETN,,,,,,,,,,,,,
Enterprise Value,105.40B,93.55B,88.98B,76.86B,71.36B,ETN,,,,,,,,,,,,,
Trailing P/E,32.74,31.50,31.42,27.91,27.49,ETN,,,,,,,,,,,,,
Forward P/E,24.33,21.88,23.81,20.79,19.01,ETN,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.37,2.19,2.50,2.29,2.07,ETN,,,,,,,,,,,,,
Price/Sales (ttm),4.34,3.87,3.76,3.31,3.12,ETN,,,,,,,,,,,,,
Price/Book (mrq),5.31,4.74,4.60,4.01,3.89,ETN,,,,,,,,,,,,,
Enterprise Value/Revenue,4.66,15.91,15.17,14.02,13.25,ETN,,,,,,,,,,,,,
Enterprise Value/EBITDA,22.47,69.76,76.18,73.20,62.98,ETN,,,,,,,,,,,,,
Market Cap (intraday),98.17B,94.00B,92.92B,82.41B,82.08B,MMC,,,,,,,,,,,,,
Enterprise Value,110.86B,107.46B,106.90B,94.44B,94.56B,MMC,,,,,,,,,,,,,
Trailing P/E,28.69,28.92,29.34,27.57,24.77,MMC,,,,,,,,,,,,,
Forward P/E,23.15,22.52,24.75,22.12,22.27,MMC,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.19,2.16,2.37,3.36,3.28,MMC,,,,,,,,,,,,,
Price/Sales (ttm),4.48,4.41,4.48,4.06,4.03,MMC,,,,,,,,,,,,,
Price/Book (mrq),8.61,7.73,8.30,7.83,8.56,MMC,,,,,,,,,,,,,
Enterprise Value/Revenue,4.99,19.97,18.19,15.94,18.83,MMC,,,,,,,,,,,,,
Enterprise Value/EBITDA,18.87,85.62,62.59,47.96,100.38,MMC,,,,,,,,,,,,,
Market Cap (intraday),99.58B,81.50B,77.48B,83.74B,75.88B,PGR,,,,,,,,,,,,,
Enterprise Value,106.84B,88.72B,84.09B,90.42B,82.41B,PGR,,,,,,,,,,,,,
Trailing P/E,36.99,47.87,93.88,121.24,91.35,PGR,,,,,,,,,,,,,
Forward P/E,21.83,18.69,24.45,21.60,20.53,PGR,,,,,,,,,,,,,
PEG Ratio (5 yr expected),0.28,0.24,0.24,0.21,0.94,PGR,,,,,,,,,,,,,
Price/Sales (ttm),1.70,1.46,1.49,1.69,1.57,PGR,,,,,,,,,,,,,
Price/Book (mrq),5.89,5.03,4.73,5.44,5.31,PGR,,,,,,,,,,,,,
Enterprise Value/Revenue,1.82,5.70,5.48,6.32,6.12,PGR,,,,,,,,,,,,,
Enterprise Value/EBITDA,,,,,,PGR,,,,,,,,,,,,,
Market Cap (intraday),101.69B,89.34B,78.25B,90.14B,78.57B,REGN,,,,,,,,,,,,,
Enterprise Value,94.48B,83.11B,71.99B,85.10B,74.25B,REGN,,,,,,,,,,,,,
Trailing P/E,26.62,21.75,19.54,21.50,15.22,REGN,,,,,,,,,,,,,
Forward P/E,21.10,18.76,17.21,19.84,17.12,REGN,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.78,1.79,1.67,3.51,8.67,REGN,,,,,,,,,,,,,
Price/Sales (ttm),8.11,7.38,6.61,7.66,5.96,REGN,,,,,,,,,,,,,
Price/Book (mrq),4.08,3.73,3.33,3.98,3.69,REGN,,,,,,,,,,,,,
Enterprise Value/Revenue,7.21,24.72,22.80,26.91,21.75,REGN,,,,,,,,,,,,,
Enterprise Value/EBITDA,19.45,67.35,59.75,87.23,51.48,REGN,,,,,,,,,,,,,
Market Cap (intraday),86.49B,80.09B,79.35B,76.98B,68.30B,ZTS,,,,,,,,,,,,,
Enterprise Value,91.48B,85.12B,83.98B,81.49B,72.55B,ZTS,,,,,,,,,,,,,
Trailing P/E,38.37,36.63,38.96,37.07,33.46,ZTS,,,,,,,,,,,,,
Forward P/E,29.94,27.70,31.85,30.77,29.07,ZTS,,,,,,,,,,,,,
PEG Ratio (5 yr expected),3.14,2.94,3.38,3.27,3.40,ZTS,,,,,,,,,,,,,
Price/Sales (ttm),10.44,9.86,9.96,9.69,8.65,ZTS,,,,,,,,,,,,,
Price/Book (mrq),17.03,17.29,17.66,17.48,14.58,ZTS,,,,,,,,,,,,,
Enterprise Value/Revenue,10.93,39.57,38.52,40.75,35.56,ZTS,,,,,,,,,,,,,
Enterprise Value/EBITDA,25.38,94.57,79.91,92.60,93.85,ZTS,,,,,,,,,,,,,
Market Cap (intraday),96.64B,,,,,MU,,,,,,,84.04B,76.79B,74.64B,63.09B,62.89B,,
Enterprise Value,101.69B,,,,,MU,,,,,,,88.38B,80.29B,76.70B,63.40B,61.07B,,
Trailing P/E,10.05,,,,,MU,,,,,,,,,48.37,10.46,7.44,,
Forward P/E,,,,,,MU,,,,,,,,588.24,50.51,,161.29,,
PEG Ratio (5 yr expected),,,,,,MU,,,,,,,,,,,,,
Price/Sales (ttm),5.93,,,,,MU,,,,,,,5.35,4.22,3.26,2.37,2.10,,
Price/Book (mrq),2.25,,,,,MU,,,,,,,1.90,1.69,1.58,1.28,1.26,,
Enterprise Value/Revenue,6.28,,,,,MU,,,,,,,18.70,20.02,20.44,17.17,14.95,,
Enterprise Value/EBITDA,64.28,,,,,MU,,,,,,,99.08,132.06,238.21,-264.17,34.01,,
Market Cap (intraday),77.02B,66.90B,82.83B,72.76B,67.84B,HCA,,,,,,,,,,,,,
Enterprise Value,117.26B,106.78B,122.12B,112.05B,106.31B,HCA,,,,,,,,,,,,,
Trailing P/E,14.21,12.15,15.28,13.77,13.56,HCA,,,,,,,,,,,,,
Forward P/E,14.75,12.06,16.78,15.15,13.28,HCA,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.51,1.09,1.51,1.40,1.35,HCA,,,,,,,,,,,,,
Price/Sales (ttm),1.28,1.13,1.44,1.29,1.21,HCA,,,,,,,,,,,,,
Price/Book (mrq),,,,,,HCA,,,,,,,,,,,,,
Enterprise Value/Revenue,1.86,6.59,7.70,7.19,6.86,HCA,,,,,,,,,,,,,
Enterprise Value/EBITDA,8.62,37.05,39.95,35.49,23.60,HCA,,,,,,,,,,,,,
Market Cap (intraday),64.25B,73.81B,66.63B,67.04B,76.08B,EOG,,,,,,,,,,,,,
Enterprise Value,63.06B,73.19B,65.79B,67.03B,76.13B,EOG,,,,,,,,,,,,,
Trailing P/E,8.17,8.54,7.15,8.67,10.17,EOG,,,,,,,,,,,,,
Forward P/E,8.17,9.51,9.60,8.32,8.38,EOG,,,,,,,,,,,,,
PEG Ratio (5 yr expected),2.61,,,,2.62,EOG,,,,,,,,,,,,,
Price/Sales (ttm),2.72,2.96,2.37,2.28,2.63,EOG,,,,,,,,,,,,,
Price/Book (mrq),2.31,2.81,2.62,2.71,3.19,EOG,,,,,,,,,,,,,
Enterprise Value/Revenue,2.67,11.97,12.05,12.01,11.72,EOG,,,,,,,,,,,,,
Enterprise Value/EBITDA,4.63,20.87,22.79,19.51,20.14,EOG,,,,,,,,,,,,,
Market Cap (intraday),61.61B,,,,,FDX,,,,,,,64.68B,65.63B,54.75B,51.08B,45.99B,,
Enterprise Value,93.06B,,,,,FDX,,,,,,,95.84B,97.10B,87.47B,84.47B,76.79B,,
Trailing P/E,14.62,,,,,FDX,,,,,,,15.80,16.86,18.76,15.91,13.43,,
Forward P/E,13.93,,,,,FDX,,,,,,,14.39,14.84,11.75,11.63,12.25,,
PEG Ratio (5 yr expected),1.07,,,,,FDX,,,,,,,1.08,1.12,1.31,1.27,1.29,,
Price/Sales (ttm),0.71,,,,,FDX,,,,,,,0.74,0.74,0.61,0.56,0.51,,
Price/Book (mrq),2.30,,,,,FDX,,,,,,,2.44,2.52,2.21,2.12,1.83,,
Enterprise Value/Revenue,1.06,,,,,FDX,,,,,,,4.32,4.48,3.99,3.81,3.37,,
Enterprise Value/EBITDA,8.58,,,,,FDX,,,,,,,38.94,36.49,24.81,38.47,34.01,,
Market Cap (intraday),70.94B,66.60B,69.00B,70.16B,83.98B,NOC,,,,,,,,,,,,,
Enterprise Value,84.39B,78.78B,83.15B,82.28B,96.88B,NOC,,,,,,,,,,,,,
Trailing P/E,15.47,14.60,14.77,14.67,15.57,NOC,,,,,,,,,,,,,
Forward P/E,18.94,17.89,20.16,20.92,22.68,NOC,,,,,,,,,,,,,
PEG Ratio (5 yr expected),,12.17,15.15,16.47,,NOC,,,,,,,,,,,,,
Price/Sales (ttm),1.86,1.79,1.90,1.96,2.42,NOC,,,,,,,,,,,,,
Price/Book (mrq),4.45,4.29,4.56,4.58,5.99,NOC,,,,,,,,,,,,,
Enterprise Value/Revenue,2.18,8.06,8.68,8.85,9.66,NOC,,,,,,,,,,,,,
Enterprise Value/EBITDA,11.39,49.99,57.07,57.74,32.80,NOC,,,,,,,,,,,,,
Market Cap (intraday),72.38B,62.84B,63.32B,58.30B,57.30B,ICE,,,,,,,,,,,,,
Enterprise Value,95.14B,78.31B,79.61B,74.88B,74.51B,ICE,,,,,,,,,,,,,
Trailing P/E,29.34,36.55,43.66,40.42,22.70,ICE,,,,,,,,,,,,,
Forward P/E,22.17,18.35,20.83,19.19,17.73,ICE,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.15,0.96,0.98,0.91,,ICE,,,,,,,,,,,,,
Price/Sales (ttm),7.39,6.44,6.57,6.07,6.01,ICE,,,,,,,,,,,,,
Price/Book (mrq),2.84,2.64,2.73,2.57,2.56,ICE,,,,,,,,,,,,,
Enterprise Value/Revenue,9.90,32.24,34.08,30.29,31.34,ICE,,,,,,,,,,,,,
Enterprise Value/EBITDA,19.93,65.42,61.76,58.27,74.28,ICE,,,,,,,,,,,,,
Market Cap (intraday),68.30B,75.00B,76.59B,70.31B,72.29B,BDX,,,,,,,,,,,,,
Enterprise Value,82.76B,90.85B,92.83B,86.15B,87.34B,BDX,,,,,,,,,,,,,
Trailing P/E,46.25,46.75,48.53,47.79,47.27,BDX,,,,,,,,,,,,,
Forward P/E,17.73,18.87,19.42,20.28,21.01,BDX,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.30,1.39,2.18,2.28,2.36,BDX,,,,,,,,,,,,,
Price/Sales (ttm),3.51,3.89,4.02,3.79,3.87,BDX,,,,,,,,,,,,,
Price/Book (mrq),2.65,2.89,2.98,2.76,2.86,BDX,,,,,,,,,,,,,
Enterprise Value/Revenue,4.27,17.86,19.03,17.87,19.05,BDX,,,,,,,,,,,,,
Enterprise Value/EBITDA,18.80,103.12,79.96,71.20,75.95,BDX,,,,,,,,,,,,,
Market Cap (intraday),68.04B,60.33B,59.02B,62.69B,68.12B,GD,,,,,,,,,,,,,
Enterprise Value,77.69B,70.67B,69.08B,73.56B,78.74B,GD,,,,,,,,,,,,,
Trailing P/E,20.83,18.14,17.61,18.72,20.68,GD,,,,,,,,,,,,,
Forward P/E,16.75,14.79,17.04,18.02,17.73,GD,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.72,1.48,1.80,1.90,1.91,GD,,,,,,,,,,,,,
Price/Sales (ttm),1.66,1.49,1.50,1.61,1.78,GD,,,,,,,,,,,,,
Price/Book (mrq),3.41,3.10,3.09,3.38,3.86,GD,,,,,,,,,,,,,
Enterprise Value/Revenue,1.87,6.68,6.80,7.45,7.26,GD,,,,,,,,,,,,,
Enterprise Value/EBITDA,14.71,55.86,59.10,63.20,46.79,GD,,,,,,,,,,,,,
Market Cap (intraday),,51.47B,50.65B,55.26B,66.73B,USB,,,,,,65.41B,,,,,,,
Enterprise Value,,,,,,USB,,,,,,,,,,,,,
Trailing P/E,,9.21,8.83,9.77,10.41,USB,,,,,,12.85,,,,,,,
Forward P/E,,7.51,7.48,7.35,8.64,USB,,,,,,10.27,,,,,,,
PEG Ratio (5 yr expected),,2.18,1.63,0.98,0.85,USB,,,,,,1.63,,,,,,,
Price/Sales (ttm),,1.86,1.93,2.22,2.76,USB,,,,,,2.31,,,,,,,
Price/Book (mrq),,1.11,1.10,1.26,1.64,USB,,,,,,1.35,,,,,,,
Enterprise Value/Revenue,,,,,,USB,,,,,,,,,,,,,
Enterprise Value/EBITDA,,,,,,USB,,,,,,,,,,,,,
Market Cap (intraday),68.28B,61.69B,68.42B,60.87B,65.13B,CSX,,,,,,,,,,,,,
Enterprise Value,85.79B,79.05B,85.35B,77.32B,81.27B,CSX,,,,,,,,,,,,,
Trailing P/E,18.28,15.53,16.72,15.35,16.48,CSX,,,,,,,,,,,,,
Forward P/E,17.42,15.02,17.48,15.75,16.13,CSX,,,,,,,,,,,,,
PEG Ratio (5 yr expected),3.00,2.52,2.77,2.73,2.18,CSX,,,,,,,,,,,,,
Price/Sales (ttm),4.79,4.24,4.74,4.32,4.63,CSX,,,,,,,,,,,,,
Price/Book (mrq),5.71,4.95,5.55,4.83,4.97,CSX,,,,,,,,,,,,,
Enterprise Value/Revenue,5.83,22.13,23.07,20.86,21.79,CSX,,,,,,,,,,,,,
Enterprise Value/EBITDA,11.53,45.75,44.57,40.74,42.86,CSX,,,,,,,,,,,,,
Market Cap (intraday),70.96B,64.19B,73.54B,85.20B,81.19B,PYPL,,,,,,,,,,,,,
Enterprise Value,70.06B,64.85B,73.37B,84.77B,81.02B,PYPL,,,,,,,,,,,,,
Trailing P/E,19.65,16.38,28.28,36.33,36.15,PYPL,,,,,,,,,,,,,
Forward P/E,11.86,10.33,13.48,15.53,14.86,PYPL,,,,,,,,,,,,,
PEG Ratio (5 yr expected),0.56,0.49,0.56,0.88,1.44,PYPL,,,,,,,,,,,,,
Price/Sales (ttm),2.54,2.33,2.73,3.20,3.07,PYPL,,,,,,,,,,,,,
Price/Book (mrq),3.59,3.21,3.70,4.20,3.99,PYPL,,,,,,,,,,,,,
Enterprise Value/Revenue,2.41,8.74,10.07,12.04,10.97,PYPL,,,,,,,,,,,,,
Enterprise Value/EBITDA,11.28,40.61,44.23,59.24,53.13,PYPL,,,,,,,,,,,,,
Market Cap (intraday),61.07B,,,,,LULU,49.67B,47.97B,48.37B,39.07B,41.96B,,,,,,,,
Enterprise Value,61.15B,,,,,LULU,49.76B,48.12B,48.29B,39.76B,42.41B,,,,,,,,
Trailing P/E,61.57,,,,,LULU,49.81,50.61,56.88,33.76,38.57,,,,,,,,
Forward P/E,34.13,,,,,LULU,28.49,32.15,32.89,26.88,28.74,,,,,,,,
PEG Ratio (5 yr expected),1.44,,,,,LULU,1.53,1.73,1.78,1.33,1.42,,,,,,,,
Price/Sales (ttm),6.71,,,,,LULU,5.68,5.69,6.00,5.28,6.01,,,,,,,,
Price/Book (mrq),17.32,,,,,LULU,14.06,14.45,15.35,12.86,14.68,,,,,,,,
Enterprise Value/Revenue,6.66,,,,,LULU,22.57,21.78,24.13,14.34,22.84,,,,,,,,
Enterprise Value/EBITDA,25.78,,,,,LULU,97.45,83.94,99.45,49.54,98.27,,,,,,,,
Market Cap (intraday),68.62B,58.62B,55.03B,50.59B,47.13B,MAR,,,,,,,,,,,,,
Enterprise Value,80.64B,70.35B,66.16B,61.18B,56.51B,MAR,,,,,,,,,,,,,
Trailing P/E,24.78,22.21,21.53,22.93,22.73,MAR,,,,,,,,,,,,,
Forward P/E,24.10,20.41,22.52,21.51,18.73,MAR,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.63,1.18,1.17,1.16,0.64,MAR,,,,,,,,,,,,,
Price/Sales (ttm),3.06,2.70,2.66,2.60,2.54,MAR,,,,,,,,,,,,,
Price/Book (mrq),,,393.10,89.07,43.50,MAR,,,,,,,,,,,,,
Enterprise Value/Revenue,3.43,11.87,10.89,10.90,9.54,MAR,,,,,,,,,,,,,
Enterprise Value/EBITDA,17.96,58.43,56.31,59.11,52.52,MAR,,,,,,,,,,,,,
Market Cap (intraday),66.18B,58.79B,63.69B,62.34B,65.81B,CL,,,,,,,,,,,,,
Enterprise Value,73.96B,66.96B,71.73B,70.84B,73.12B,CL,,,,,,,,,,,,,
Trailing P/E,42.08,39.73,40.34,35.28,34.41,CL,,,,,,,,,,,,,
Forward P/E,23.20,20.66,24.63,24.15,24.94,CL,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.48,2.35,2.79,3.99,3.72,CL,,,,,,,,,,,,,
Price/Sales (ttm),3.49,3.18,3.51,3.51,3.74,CL,,,,,,,,,,,,,
Price/Book (mrq),156.16,,,155.47,105.16,CL,,,,,,,,,,,,,
Enterprise Value/Revenue,3.86,13.62,14.88,14.85,15.80,CL,,,,,,,,,,,,,
Enterprise Value/EBITDA,20.54,57.08,64.10,68.31,269.80,CL,,,,,,,,,,,,,
Market Cap (intraday),63.77B,,,,,TGT,51.15B,62.99B,72.81B,79.24B,75.60B,,,,,,,,
Enterprise Value,80.89B,,,,,TGT,68.36B,80.50B,89.65B,97.32B,92.13B,,,,,,,,
Trailing P/E,17.60,,,,,TGT,15.20,23.25,26.38,23.52,18.60,,,,,,,,
Forward P/E,15.11,,,,,TGT,12.32,16.42,18.42,18.35,13.37,,,,,,,,
PEG Ratio (5 yr expected),1.04,,,,,TGT,0.78,0.78,3.86,3.84,2.47,,,,,,,,
Price/Sales (ttm),0.60,,,,,TGT,0.47,0.58,0.67,0.74,0.72,,,,,,,,
Price/Book (mrq),5.10,,,,,TGT,4.27,5.43,6.48,7.19,7.14,,,,,,,,
Enterprise Value/Revenue,0.76,,,,,TGT,2.69,3.25,3.54,3.10,3.47,,,,,,,,
Enterprise Value/EBITDA,10.31,,,,,TGT,33.12,42.46,44.43,52.10,53.91,,,,,,,,
Market Cap (intraday),64.07B,50.54B,59.03B,47.15B,38.46B,CMG,,,,,,,,,,,,,
Enterprise Value,66.64B,53.07B,61.74B,49.98B,41.41B,CMG,,,,,,,,,,,,,
Trailing P/E,55.39,45.77,57.89,53.32,48.34,CMG,,,,,,,,,,,,,
Forward P/E,43.67,33.90,50.25,40.32,32.26,CMG,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.75,1.37,2.13,1.71,1.10,CMG,,,,,,,,,,,,,
Price/Sales (ttm),6.80,5.49,6.65,5.55,4.65,CMG,,,,,,,,,,,,,
Price/Book (mrq),22.20,18.20,23.79,19.91,16.47,CMG,,,,,,,,,,,,,
Enterprise Value/Revenue,6.99,21.47,24.55,21.10,18.99,CMG,,,,,,,,,,,,,
Enterprise Value/EBITDA,35.62,108.23,115.53,108.95,106.87,CMG,,,,,,,,,,,,,
Market Cap (intraday),62.38B,65.77B,70.14B,64.48B,62.08B,AON,,,,,,,,,,,,,
Enterprise Value,66.26B,69.29B,74.03B,75.01B,72.43B,AON,,,,,,,,,,,,,
Trailing P/E,23.66,25.21,27.66,25.97,23.39,AON,,,,,,,,,,,,,
Forward P/E,19.27,20.04,23.58,21.64,21.01,AON,,,,,,,,,,,,,
PEG Ratio (5 yr expected),1.74,1.87,2.20,1.86,1.74,AON,,,,,,,,,,,,,
Price/Sales (ttm),4.91,5.26,5.74,5.39,5.22,AON,,,,,,,,,,,,,
Price/Book (mrq),,1.00k,,,,AON,,,,,,,,,,,,,
Enterprise Value/Revenue,5.05,23.46,23.30,19.38,23.14,AON,,,,,,,,,,,,,
